இவன் வாலுக்கு வையகமே நடுங்கும் அவன் யார்?,தேள்
பிடுங்கலாம் நடமுடியாது அது என்ன,தலைமுடி
உடம்பில்லா ஒருவன் பத்து சட்டை அணீந்திருப்பான்? அவன் யார்,வெங்காயம்
கசக்கிப் பிழிந்தாலும் கடைசிவரை இனிப்பான். அவன் யார்?,கரும்பு
மரத்தின் மேலே தொங்குவது மலைப் பாம்பல்ல அது என்ன?,விழுது
"இடி இடிக்கும், மின்னல் மின்னும், மழை பெய்யாது- அது என்ன?",பட்டாசு
"ஆலமரம் தூங்க அவனியெல்லாம் தூங்க, சீரங்கம் தூங்க திருப்பாற்கடல் தூங்க, ஒருவன் மட்டும் தூங்கவில்லை அவன் யார்?",மூச்சு
கொதிக்கும் கிணற்றில் குதித்துக் குண்டாகி வருவான். அவன் யார்?,பூரி
"கருப்பு நிறமுடையவன், கபடம் அதிகம் கொண்டவன், கூவி அழைத்தால் வந்திடுவான், கூட்டம் சேர்த்தும் வந்திடுவான் – அவன் யார்?",காகம்
பச்சை பொட்டிக்குள் வெள்ளை முத்துகள் ?,வெண்டைக்காய்
"இவனும் ஒரு பேப்பர் தான்; ஆனால், மதிப்போடு இருப்பான். அது என்ன?",பணம்
"டாக்டர் வந்தாரு, ஊசி போட்டாரு, காசு வாங்காமல் போனாரு",கொசு
கன்று நிற்க கயிறு மேயுது அது என்ன?,பூசனிக்கொடி
எப்போதும் மழையில் நனைவான் ஆனால் ஜுரம் வராது. எப்போதும் வெயிலில் காய்வான் ஆனால் ஏதும் ஆகாது. அவன் யார்?,பூசனிக்கொடி
"தொடாமல் அழுவான், தொட்டால் பேசுவான். அவன் யார்?",தொலைபேசி
பெட்டியைத் திறந்தால் பூட்ட முடியாது. அது என்ன?,தேங்காய்
தன் மேனி முழுவதும் கண்ணுடையாள் தன்னிடம் சிக்கியபேரைச் சீரழிப்பாள் அவள் யார்?,மீன் வலை
"படபடக்கும்,பளபளக்கும் மனதுக்குள் இடம் பிடிக்கும் அது என்ன?",பட்டாசு
"உயிரில்லாதவனுக்கு உடம்பெல்லாம் நரம்பு, அது என்ன?",பாய்
மாமா போட்ட பந்தல் மறுபடி பிரிச்சா கந்தல் அது என்ன?,சிலந்தி வலை
கீழேயும் மேலேயும் மண்; நடுவிலே அழகான பெண். அது என்ன?,மஞ்சல்செடி
சொன்ன நேரத்துக்கு தொண்டை கிழிய கத்துவான். அவன் யார் ?,அலாரம்
உயிர் இல்லாத நீதிபதியிடம் ஒழுங்கான நியாயம்- அது என்ன?,தராசு
பூவோடு பிறந்து; நாவோடு கலந்து விருந்தாவான் மருந்தாவான். அவன் யார்?,தேன்
நூல் நூற்கும் நெசவாளிக்கு கட்டிக்கொள்ள துணியில்லை அது என்ன?,சிலந்தி வலை
"உடம்பெல்லாம் சிவப்பு, அதன் குடுமி பச்சை அது என்ன?",தக்காளி
ஒட்டுத் திண்ணையில் பட்டுப் பாவாடை அது என்ன?,தோடு
தலைக்குள் கண் வைத்திருப்பவன் இவன் மட்டும்தான் அவன் யார்?,நுங்கு
"செய்தி வரும் பின்னே, மணியோசை வரும் முன்னே. அது என்ன?",தொலைபேசி
"வாயிலிருந்து நூல் போடுவான்; மந்திரவாதியும் இல்லை, கிளைக்குக் கிளை தாவுவான்; குரங்கும் இல்லை, வலைவிரித்துப் பதுங்கியிருப்பான்; வேடனும் இல்லை – அவன் யார்?",சிலந்தி வலை
